"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 15 22:48:33 BDT 2022","Tue Feb 15 22:49:33 BDT 2022","60243","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","getTitle","Get website title",""
"passed","Tue Feb 15 22:50:36 BDT 2022","Tue Feb 15 22:50:53 BDT 2022","17033","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","availableCountry","Click on view countries",""
"broken","Tue Feb 15 21:20:15 BDT 2022","Tue Feb 15 21:20:20 BDT 2022","4801","Default Suite","DemositeAutomationTest","TestRunner","TestRunner","clickOnSocialMediaLinkedln","Clicking on linkedln icon",""
"passed","Tue Feb 15 22:51:11 BDT 2022","Tue Feb 15 22:51:13 BDT 2022","1922","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","downloadApp","Clicking Download App section",""
"passed","Tue Feb 15 22:51:15 BDT 2022","Tue Feb 15 22:51:18 BDT 2022","3054","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","clickOnSocialMediaFacebook","Clicking on facebook icon",""
"passed","Tue Feb 15 04:39:10 BDT 2022","Tue Feb 15 04:39:17 BDT 2022","7094","Default Suite","DemositeAutomationTest","TestRunner","TestRunner","getOurStory","Checking the transaction our story page",""
"passed","Tue Feb 15 22:52:28 BDT 2022","Tue Feb 15 22:52:40 BDT 2022","11680","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","customerComplains","Checking the customer complain section",""
"passed","Tue Feb 15 22:52:55 BDT 2022","Tue Feb 15 22:53:06 BDT 2022","10738","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","checkWebSecurityPage","Checking the security page work properly",""
"passed","Tue Feb 15 22:52:40 BDT 2022","Tue Feb 15 22:52:55 BDT 2022","14717","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","checkOurStoryPage","Checking the  our story page work properly",""
"broken","Tue Feb 15 12:40:51 BDT 2022","Tue Feb 15 12:40:51 BDT 2022","0","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","logOut","logOut",""
"passed","Mon Feb 14 22:08:29 BDT 2022","Mon Feb 14 22:08:31 BDT 2022","2487","Default Suite","DemositeAutomationTest","TestRunner","TestRunner","clickOnSocialMedia","Clicking on instagram icon",""
"broken","Mon Feb 14 22:25:51 BDT 2022","Mon Feb 14 22:26:35 BDT 2022","43648","Default Suite","DemositeAutomationTest","TestRunner","TestRunner","clickRightArrow","Clicking right arrow to swipe pictures",""
"passed","Tue Feb 15 22:51:18 BDT 2022","Tue Feb 15 22:52:15 BDT 2022","57326","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","clickOnContactUs","Testing the Contact Us section",""
"passed","Tue Feb 15 22:53:06 BDT 2022","Tue Feb 15 22:53:16 BDT 2022","10254","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","checkCareerPage","Checking the career page work properly",""
"passed","Tue Feb 15 05:04:13 BDT 2022","Tue Feb 15 05:04:53 BDT 2022","39379","Default Suite","DemositeAutomationTest","TestRunner","TestRunner","getWebSecurity","Checking the security page work properly",""
"broken","Mon Feb 14 22:26:35 BDT 2022","Mon Feb 14 22:27:11 BDT 2022","35467","Default Suite","DemositeAutomationTest","TestRunner","TestRunner","ourStoryPage","Go to Our Story page",""
"passed","Tue Feb 15 22:50:09 BDT 2022","Tue Feb 15 22:50:36 BDT 2022","26868","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","ratingPage","Go to rating page",""
"passed","Tue Feb 15 22:50:53 BDT 2022","Tue Feb 15 22:51:04 BDT 2022","10604","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","imageExist","Check if an image exists",""
"unknown","Tue Feb 15 22:47:54 BDT 2022","Tue Feb 15 22:47:54 BDT 2022","0","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","countryChange","Changing country from dropdown",""
"passed","Tue Feb 15 22:52:15 BDT 2022","Tue Feb 15 22:52:28 BDT 2022","12616","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","clickFAQ","Testing the FAQ section",""
"passed","Tue Feb 15 22:49:35 BDT 2022","Tue Feb 15 22:50:08 BDT 2022","33229","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","changeLanguage","Changing website language",""
"passed","Tue Feb 15 22:51:04 BDT 2022","Tue Feb 15 22:51:11 BDT 2022","6289","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","validTrans","Checking valid transaction",""
"passed","Tue Feb 15 22:51:13 BDT 2022","Tue Feb 15 22:51:15 BDT 2022","1849","AutomationDemoSite","AutomationDemoSite","TestRunner","TestRunner","clickOnSocialMediaInstagram","Clicking on instagram icon",""
